P_i,P_t,P_v,T_i,T_t,T_v
35088,1496711987.6605443954,-55.480999,35032,1496711987.5225119591,-340.988190
35230,1496711988.0090389252,455.841095,35127,1496711987.7564730644,-234.527603
35320,1496711988.2309436798,-232.681305,35312,1496711988.2115144730,-439.636200
35381,1496711988.3809804916,-57.876598,35325,1496711988.2434153557,-313.125610
35522,1496711988.7283349037,474.868805,35419,1496711988.4747769833,-277.893097
35668,1496711989.0875930786,-70.465103,35595,1496711988.9083313942,-404.617310
35806,1496711989.4268305302,498.519897,35711,1496711989.1935853958,-270.553589
36051,1496711990.0290005207,354.629486,35875,1496711989.5962748528,-419.723511
36379,1496711990.8334760666,14.495800,36111,1496711990.1761159897,-204.772903
36723,1496711991.6788458824,48.995998,36697,1496711991.6148369312,-86.120598
37032,1496711993.0101494789,312.942505,36873,1496711992.6209220886,-155.273407
37097,1496711993.1701090336,7.537800,37080,1496711993.1275691986,-148.544296
37436,1496711994.0053989887,116.088898,37110,1496711993.2018380165,-132.553101
37569,1496711994.3326315880,48.416100,37500,1496711994.1626410484,-32.806400
37910,1496711995.1685853004,180.389404,37771,1496711994.8279056549,-178.176895
38064,1496711995.5468029976,-31.326300,37987,1496711995.3576819897,-276.031494
38211,1496711995.9074139595,438.690186,38121,1496711995.6855945587,-283.004791
38365,1496711996.2870109081,-55.496201,38297,1496711996.1191830635,-406.707794
38511,1496711996.6477718353,450.302094,38408,1496711996.3935666084,-281.936615
38657,1496711997.0078034401,-58.441200,38588,1496711996.8384265900,-439.163208
38803,1496711997.3667693138,498.382599,38695,1496711997.1010684967,-275.375397
38953,1496711997.7359275818,-56.304901,38885,1496711997.5680475235,-429.550201
39083,1496711998.0550489426,499.664307,38996,1496711997.8415446281,-267.456085
39246,1496711998.4544806480,-48.248299,39173,1496711998.2752864361,-442.687988
39388,1496711998.8039660454,462.112396,39285,1496711998.5506129265,-256.042511
39538,1496711999.1735050678,-64.239502,39465,1496711998.9937725067,-353.668213
39680,1496711999.5231764317,450.973511,39581,1496711999.2791786194,-259.872406
39767,1496711999.7349150181,-158.706696,39758,1496711999.7128715515,-429.962189
39831,1496711999.8922355175,-40.603600,39771,1496711999.7448663712,-301.620514
39978,1496712000.2528100014,449.783295,39875,1496711999.9998106956,-275.711090
40068,1496712000.4742209911,-217.712402,40060,1496712000.4547801018,-436.965912
40129,1496712000.6240353584,-51.559399,40072,1496712000.4841599464,-312.194794
40275,1496712000.9831035137,493.698090,40176,1496712000.7395365238,-275.314301
40412,1496712001.3201055527,-63.125599,40352,1496712001.1729505062,-457.839996
40554,1496712001.6688313484,498.535187,40460,1496712001.4377360344,-247.497604
40829,1496712002.3458714485,329.132111,40623,1496712001.8387484550,-376.312286
41018,1496712002.8111524582,28.518700,40919,1496712002.5670571327,-91.964699
41435,1496712003.8370234966,185.317993,41272,1496712003.4362039566,-63.812302
42006,1496712118.8608336449,124.633797,41876,1496712118.5434269905,-101.287804
42190,1496712119.3147220612,45.913700,42092,1496712119.0727510452,-114.166298
42530,1496712120.1503806114,187.774704,42427,1496712119.8969516754,-204.376205
42690,1496712120.5432765484,59.448200,42569,1496712120.2459120750,-96.420303
42995,1496712121.2930068970,166.488602,42892,1496712121.0395615101,-174.194305
43133,1496712121.6318016052,49.224899,43038,1496712121.3986306190,-83.419800
43468,1496712122.4545536041,174.728394,43357,1496712122.1812028885,-204.315201
43623,1496712122.8357825279,65.246597,43507,1496712122.5500869751,-91.842697
43942,1496712123.6189579964,168.273895,43830,1496712123.3438279629,-177.597000
44101,1496712124.0090446472,57.373001,43981,1496712123.7151045799,-75.332603
44429,1496712124.8125209808,180.496201,44317,1496712124.5388131142,-184.646606
44597,1496712125.2256374359,63.247700,44477,1496712124.9297714233,-76.370201
44942,1496712126.0720450878,139.312698,44842,1496712125.8277068138,-144.866898
46958,1496712137.7632379532,160.934402,46855,1496712137.5098104477,-158.279404
47118,1496712138.1551451683,44.265701,47001,1496712137.8692626953,-89.965797
47419,1496712138.8948163986,181.167603,47312,1496712138.6317753792,-205.139206
47570,1496712139.2661719322,57.052601,47454,1496712138.9805114269,-94.299301
47875,1496712140.0153465271,175.826996,47767,1496712139.7503986359,-194.244400
48025,1496712140.3844134808,66.680901,47905,1496712140.0893859863,-94.650299
48331,1496712141.1372566223,185.668900,48224,1496712140.8731164932,-197.128296
48468,1496712141.4740889072,63.049301,48369,1496712141.2305340767,-108.566299
48787,1496712142.2580499649,182.586700,48683,1496712142.0021290779,-202.163696
48929,1496712142.6070756912,65.795898,48825,1496712142.3519296646,-62.301601
49243,1496712143.3774700165,170.135498,49126,1496712143.0913944244,-195.343002
49402,1496712143.7678985596,55.374100,49290,1496712143.4933328629,-101.577797
49751,1496712144.6263570786,155.258194,49643,1496712144.3607075214,-153.045700
50057,1496712145.3745751381,34.271198,49799,1496712144.7419180870,-54.855301
50394,1496712146.2015774250,-43.563801,50355,1496712146.1060743332,-132.415802
50566,1496712146.6243324280,337.325989,50518,1496712146.5067360401,-200.607300
50647,1496712146.8239693642,-53.863499,50643,1496712146.8143475056,-149.063095
50721,1496712164.1290116310,-3.326400,50677,1496712146.8974676132,-182.159393
51174,1496712165.2412533760,115.158096,51040,1496712164.9125628471,-93.780502
51354,1496712165.6842670441,57.876598,51251,1496712165.4309079647,-72.143600
51672,1496712166.4660806656,171.218903,51565,1496712166.2028532028,-189.483597
51810,1496712166.8058156967,55.114700,51724,1496712166.5943160057,-54.611198
52128,1496712167.5877976418,167.846695,52025,1496712167.3338875771,-184.265106
52279,1496712167.9586160183,54.107700,52197,1496712167.7573256493,-42.907700
52571,1496712168.6772079468,182.189896,52468,1496712168.4236268997,-218.383804
52730,1496712169.0681855679,56.167599,52613,1496712168.7809219360,-61.798100
53022,1496712169.7851195335,171.722397,52919,1496712169.5324969292,-211.303696
53174,1496712170.1569564342,53.833000,53083,1496712169.9335434437,-71.579002
53487,1496712170.9281740189,192.260696,53363,1496712170.6226980686,-212.875397
53616,1496712171.2452445030,57.434101,53526,1496712171.0239939690,-68.588303
53947,1496712172.0591087341,184.417694,53826,1496712171.7624330521,-189.971893
54064,1496712172.3458290100,51.193199,53986,1496712172.1548495293,-95.138496
54400,1496712173.1703305244,162.780807,54301,1496712172.9255747795,-176.254303
,,,54451,1496712173.2959089279,-44.280998
